iso3code,official_name,status_u5mr,u5mr_class
AFG,Afghanistan,Acceleration Needed,off-track
AGO,Angola,Acceleration Needed,off-track
AIA,Anguilla,Achieved,on-track
ALB,Albania,Achieved,on-track
AND,Andorra,Achieved,on-track
ARE,United Arab Emirates,Achieved,on-track
ARG,Argentina,Achieved,on-track
ARM,Armenia,Achieved,on-track
ATG,Antigua and Barbuda,Achieved,on-track
AUS,Australia,Achieved,on-track
AUT,Austria,Achieved,on-track
AZE,Azerbaijan,Achieved,on-track
BEN,Benin,Acceleration Needed,off-track
BEL,Belgium,Achieved,on-track
BWA,Botswana,Acceleration Needed,off-track
BFA,Burkina Faso,Acceleration Needed,off-track
BGD,Bangladesh,On Track,on-track
BGR,Bulgaria,Achieved,on-track
BHR,Bahrain,Achieved,on-track
BHS,Bahamas,Achieved,on-track
BIH,Bosnia and Herzegovina,Achieved,on-track
BLR,Belarus,Achieved,on-track
BLZ,Belize,Achieved,on-track
BOL,Bolivia (Plurinational State of),Achieved,on-track
BRA,Brazil,Achieved,on-track
BRB,Barbados,Achieved,on-track
BRN,Brunei Darussalam,Achieved,on-track
BTN,Bhutan,Achieved,on-track
BDI,Burundi,Acceleration Needed,off-track
CMR,Cameroon,Acceleration Needed,off-track
CAN,Canada,Achieved,on-track
CHE,Switzerland,Achieved,on-track
CHL,Chile,Achieved,on-track
CHN,China,Achieved,on-track
CAF,Central African Republic,Acceleration Needed,off-track
TCD,Chad,Acceleration Needed,off-track
COM,Comoros,Acceleration Needed,off-track
COG,Congo,Acceleration Needed,off-track
COK,Cook Islands,Achieved,on-track
COL,Colombia,Achieved,on-track
CIV,Côte d'Ivoire,Acceleration Needed,off-track
CPV,Cabo Verde,Achieved,on-track
CRI,Costa Rica,Achieved,on-track
CUB,Cuba,Achieved,on-track
CYP,Cyprus,Achieved,on-track
CZE,Czechia,Achieved,on-track
DEU,Germany,Achieved,on-track
COD,Democratic Republic of the Congo,Acceleration Needed,off-track
DMA,Dominica,Acceleration Needed,off-track
DNK,Denmark,Achieved,on-track
DOM,Dominican Republic,Acceleration Needed,off-track
DZA,Algeria,Achieved,on-track
ECU,Ecuador,Achieved,on-track
EGY,Egypt,Achieved,on-track
DJI,Djibouti,Acceleration Needed,off-track
ESP,Spain,Achieved,on-track
EST,Estonia,Achieved,on-track
ETH,Ethiopia,Acceleration Needed,off-track
FIN,Finland,Achieved,on-track
GNQ,Equatorial Guinea,Acceleration Needed,off-track
FRA,France,Achieved,on-track
FSM,Micronesia (Federated States of),Achieved,on-track
ERI,Eritrea,Acceleration Needed,off-track
GBR,United Kingdom,Achieved,on-track
GEO,Georgia,Achieved,on-track
SWZ,Eswatini,Acceleration Needed,off-track
FJI,Fiji,Acceleration Needed,off-track
GAB,Gabon,Acceleration Needed,off-track
GMB,Gambia,Acceleration Needed,off-track
GHA,Ghana,Acceleration Needed,off-track
GRC,Greece,Achieved,on-track
GRD,Grenada,Achieved,on-track
GTM,Guatemala,Achieved,on-track
GUY,Guyana,On Track,on-track
HND,Honduras,Achieved,on-track
HRV,Croatia,Achieved,on-track
GIN,Guinea,Acceleration Needed,off-track
HUN,Hungary,Achieved,on-track
IDN,Indonesia,Achieved,on-track
IND,India,On Track,on-track
IRL,Ireland,Achieved,on-track
IRN,Iran (Islamic Republic of),Achieved,on-track
IRQ,Iraq,Achieved,on-track
ISL,Iceland,Achieved,on-track
ISR,Israel,Achieved,on-track
ITA,Italy,Achieved,on-track
JAM,Jamaica,Achieved,on-track
JOR,Jordan,Achieved,on-track
JPN,Japan,Achieved,on-track
KAZ,Kazakhstan,Achieved,on-track
GNB,Guinea-Bissau,Acceleration Needed,off-track
KGZ,Kyrgyzstan,Achieved,on-track
KHM,Cambodia,Achieved,on-track
HTI,Haiti,Acceleration Needed,off-track
KNA,Saint Kitts and Nevis,Achieved,on-track
KOR,Republic of Korea,Achieved,on-track
KWT,Kuwait,Achieved,on-track
KEN,Kenya,Acceleration Needed,off-track
LBN,Lebanon,Achieved,on-track
KIR,Kiribati,Acceleration Needed,off-track
LBY,Libya,Achieved,on-track
LCA,Saint Lucia,Achieved,on-track
LKA,Sri Lanka,Achieved,on-track
LAO,Lao People's Democratic Republic,Acceleration Needed,off-track
LTU,Lithuania,Achieved,on-track
LUX,Luxembourg,Achieved,on-track
LVA,Latvia,Achieved,on-track
MAR,Morocco,Achieved,on-track
MCO,Monaco,Achieved,on-track
MDA,Republic of Moldova,Achieved,on-track
LSO,Lesotho,Acceleration Needed,off-track
MDV,Maldives,Achieved,on-track
MEX,Mexico,Achieved,on-track
MHL,Marshall Islands,On Track,on-track
MKD,North Macedonia,Achieved,on-track
LBR,Liberia,Acceleration Needed,off-track
MLT,Malta,Achieved,on-track
MDG,Madagascar,Acceleration Needed,off-track
MNE,Montenegro,Achieved,on-track
MNG,Mongolia,Achieved,on-track
MLI,Mali,Acceleration Needed,off-track
MRT,Mauritania,Acceleration Needed,off-track
MSR,Montserrat,Achieved,on-track
MUS,Mauritius,Achieved,on-track
MWI,Malawi,Acceleration Needed,off-track
MYS,Malaysia,Achieved,on-track
MOZ,Mozambique,Acceleration Needed,off-track
MMR,Myanmar,Acceleration Needed,off-track
NAM,Namibia,Acceleration Needed,off-track
NIC,Nicaragua,Achieved,on-track
NIU,Niue,Achieved,on-track
NLD,Netherlands (Kingdom of the),Achieved,on-track
NOR,Norway,Achieved,on-track
NPL,Nepal,On Track,on-track
NRU,Nauru,On Track,on-track
NZL,New Zealand,Achieved,on-track
OMN,Oman,Achieved,on-track
NER,Niger,Acceleration Needed,off-track
PAN,Panama,Achieved,on-track
PER,Peru,Achieved,on-track
PHL,Philippines,Acceleration Needed,off-track
PLW,Palau,Achieved,on-track
NGA,Nigeria,Acceleration Needed,off-track
POL,Poland,Achieved,on-track
PRK,Democratic People's Republic of Korea,Achieved,on-track
PRT,Portugal,Achieved,on-track
PRY,Paraguay,Achieved,on-track
PSE,State of Palestine,Achieved,on-track
QAT,Qatar,Achieved,on-track
RKS,Kosovo (UNSCR 1244),Achieved,on-track
ROU,Romania,Achieved,on-track
RUS,Russian Federation,Achieved,on-track
PAK,Pakistan,Acceleration Needed,off-track
SAU,Saudi Arabia,Achieved,on-track
PNG,Papua New Guinea,Acceleration Needed,off-track
SEN,Senegal,Acceleration Needed,off-track
SGP,Singapore,Achieved,on-track
SLB,Solomon Islands,Achieved,on-track
RWA,Rwanda,Acceleration Needed,off-track
SLV,El Salvador,Achieved,on-track
SMR,San Marino,Achieved,on-track
SLE,Sierra Leone,Acceleration Needed,off-track
SRB,Serbia,Achieved,on-track
SOM,Somalia,Acceleration Needed,off-track
STP,Sao Tome and Principe,Achieved,on-track
SUR,Suriname,Achieved,on-track
SVK,Slovakia,Achieved,on-track
SVN,Slovenia,Achieved,on-track
SWE,Sweden,Achieved,on-track
ZAF,South Africa,Acceleration Needed,off-track
SYC,Seychelles,Achieved,on-track
SYR,Syrian Arab Republic,Achieved,on-track
TCA,Turks and Caicos Islands,Achieved,on-track
SSD,South Sudan,Acceleration Needed,off-track
SDN,Sudan,Acceleration Needed,off-track
THA,Thailand,Achieved,on-track
TJK,Tajikistan,On Track,on-track
TLS,Timor-Leste,Acceleration Needed,off-track
TGO,Togo,Acceleration Needed,off-track
TON,Tonga,Achieved,on-track
TTO,Trinidad and Tobago,Achieved,on-track
TUN,Tunisia,Achieved,on-track
TUR,Türkiye,Achieved,on-track
TUV,Tuvalu,Achieved,on-track
TZA,United Republic of Tanzania,Acceleration Needed,off-track
TKM,Turkmenistan,Acceleration Needed,off-track
UKR,Ukraine,Achieved,on-track
URY,Uruguay,Achieved,on-track
USA,United States,Achieved,on-track
UZB,Uzbekistan,Achieved,on-track
VCT,Saint Vincent and the Grenadines,Achieved,on-track
VEN,Venezuela (Bolivarian Republic of),Achieved,on-track
VGB,British Virgin Islands,Achieved,on-track
VNM,Viet Nam,Achieved,on-track
VUT,Vanuatu,Achieved,on-track
WSM,Samoa,Achieved,on-track
UGA,Uganda,Acceleration Needed,off-track
YEM,Yemen,Acceleration Needed,off-track
ZMB,Zambia,Acceleration Needed,off-track
ZWE,Zimbabwe,Acceleration Needed,off-track
